X,Y,OBJECTID,StationId,StationName,StationType,StationStatus,LastObservation,WD_DEGREES,WS_MS,TEMP_C,PM25_UGM3,OZONE_PPB,NO2_PPB,SO2_PPB,CO_PPM,NO_PPB,PM10_UGM3,NOX_PPB,RWD_DEGREES,NOY_PPB,RWS_KNOTS
-9590067.5991,5276709.2614,1,260050003,Holland,Permanent,Active,2026/02/24 13:00:00+00,,,-6,,,3.1,,,,,,164,,5.2
-9338693.2721,5399397.5561,2,260170014,Bay City,Permanent,Active,2026/02/24 13:00:00+00,,,-9,3,,,,,,,,158,,4.3
-9607926.8633,5190703.9357,3,260210014,Coloma,Permanent,Active,2026/02/24 13:00:00+00,,,-7,,,,,,,,,175,,2.6
-9573645.6365,5145397.6043,4,260270003,Cassopolis,Permanent,Active,2026/02/24 13:00:00+00,,,-7,,,,,,,,,172,,7
-9314139.3093,5319178.2755,5,260490021,Flint,Permanent,Active,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9290763.3295,5337730.8496,6,260492001,Otisville,Permanent,Active,2026/02/24 13:00:00+00,,,-10,,,,,,,,,144,,1.7
-9199135.8113,5437805.5498,7,260630007,Harbor Beach,Permanent,Active,2026/02/24 13:00:00+00,,,-11,,,,,,,,,269,,5.2
-9410515.8283,5272101.4878,8,260650012,CLOSED SITE - LNSG,Permanent,Inactive,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9413500.3038,5275762.7809,9,260650018,Lansing,Permanent,Active,2026/02/24 13:00:00+00,,,-8,3.2,27,7.4,1.4,,3.1,7,10.5,181,,5.2
-9522684.5755,5202224.3251,10,260770008,Kalamazoo,Permanent,Active,2026/02/24 13:00:00+00,,,-6,4.3,,,,,,,,175,,2.6
-9536884.7124,5309553.9961,11,260810020,Grand Rapids - Monroe St.,Permanent,Active,2026/02/24 13:00:00+00,,,-6,3.9,,11,0.1,,2.8,12,,165,14.2,5.2
-9508410.4111,5338685.9087,12,260810022,Evans,Permanent,Active,2026/02/24 13:00:00+00,,,-7,,,,,,,,,167,,2.6
-9537815.0093,5294585.0547,13,840260810023,Grand Rapids Near Road,Permanent,Active,2026/02/24 13:00:00+00,,,-6,8.6,,16.9,,0,5.5,,22.4,156,,6.1
-9532199.3863,5626072.3477,14,260890001,CLOSED SITE,Permanent,Inactive,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9344745.4901,5159371.6785,15,260910007,Tecumseh,Permanent,Active,2026/02/24 13:00:00+00,,,-8,3.3,,,,,,,,193,,2.6
-9216277.7884,5270071.0492,16,260990009,New Haven,Permanent,Active,2026/02/24 13:00:00+00,,,-9,3.5,,,,,,,,290,,1.7
-9237108.7821,5246042.9409,17,260990021,Freedom Hill,Permanent,Active,2026/02/24 13:00:00+00,,,-8,,,,,,,,,298,,0.9
-9600491.2222,5513074.708,18,261010922,Manistee,Permanent,Active,2026/02/24 13:00:00+00,,,-8,1.4,,,,,,,,130,,7.8
-9606221.1704,5458277.471,19,261050007,Scottville,Permanent,Active,2026/02/24 13:00:00+00,,,-8,,,,,,,,,167,,7
-9450144.0085,5513727.7699,20,261130001,Houghton Lake,Permanent,Active,2026/02/24 13:00:00+00,,,-11,2.5,35,0.6,,,0,,0.5,143,,3.5
-9608093.4529,5354295.9227,21,261210039,Muskegon,Permanent,Active,2026/02/24 13:00:00+00,,,-6,,,,,,,,,148,,2.6
-9259926.272,5230597.3571,22,261250001,Oak Park,Permanent,Active,2026/02/24 13:00:00+00,,,-8,3.1,,,,,,,,214,,2.6
-9275332.7783,5256577.7582,23,261250011,Pontiac,Permanent,Active,2026/02/24 13:00:00+00,,,-10,,,,,,,,,216,,1.7
-9254130.6454,5263287.7633,24,261250012,Rochester,Permanent,Active,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-8905559.2635,0.0,25,261250021,CLOSED SITE,Permanent,Inactive,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9557069.2738,5295914.973,26,261390005,Jenison,Permanent,Active,2026/02/24 13:00:00+00,,,-6,3.3,,,,,,8,,171,,6.1
-9178717.813,5304845.9493,27,261470005,Port Huron - Dove St.,Permanent,Active,2026/02/24 13:00:00+00,,,-10,3.3,,,0.2,,,,,267,,4.3
-9261013.5295,5218208.4427,28,261520011,CLOSED SITE,Permanent,Inactive,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9567922.6792,5826726.3772,29,261530001,Seney,Permanent,Active,2026/02/24 13:00:00+00,,,-13,4,,,,,,,,262,,0.9
-9306252.8689,5197024.9823,30,261610008,Ypsilanti,Permanent,Active,2026/02/24 13:00:00+00,,,-8,3,,,,,,,,180,,3.5
-9262723.9535,5195271.8849,31,261630001,Allen Park,Permanent,Active,2026/02/24 13:00:00+00,,,-8,4,20,,0.2,0.2,3.5,18,,217,18,2.6
-9254279.9248,5201127.9347,32,261630005,River Rouge,Permanent,Active,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-8905559.2635,0.0,33,261630011,CLOSED SITE,Permanent,Inactive,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-8905559.2635,0.0,34,261630012,CLOSED SITE,Permanent,Inactive,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9251394.5236,5206414.2367,35,261630015,Detroit - SW,Permanent,Active,2026/02/24 13:00:00+00,,,-8.1,4.7,,17.8,0.4,,3.1,22,21,235.8,,1.9
-9239514.9529,5225708.7676,36,261630019,Detroit - E7 Mile,Permanent,Active,2026/02/24 13:00:00+00,,,-8,3.3,,9.8,,,1.7,,,233,11,3.5
-9267950.9602,5215027.5381,37,261630026,Detroit - Joy Road,Permanent,Active,2026/02/24 13:00:00+00,,,-8,,,,,,,,,223,,2.6
-9256161.5582,5207160.103,38,261630033,Dearborn,Permanent,Active,2026/02/24 13:00:00+00,,,-8,4.3,,,,,,19,,239,,2.6
-9247187.6488,5211293.6633,39,261630038,CLOSED-DETROIT - NEWBERRY,Permanent,Inactive,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9247187.6488,5209501.8058,40,261630039,CLOSED-DETROIT-W LAFAYETTE,Permanent,Inactive,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9269164.3426,5218978.7045,41,261630093,Eliza Howell Near Road,Permanent,Active,2026/02/24 13:00:00+00,,,,12,,,,0,,,,121,,1.7
-9286847.2211,5224327.8088,42,261630095,CLOSED-LIVONIA NEAR RD,Permanent,Inactive,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9257073.0422,5200315.6526,43,261630097,NMH 48217,Permanent,Active,2026/02/24 13:00:00+00,,,,3.6,,,0.7,,,,,,,
-9249753.6743,5207856.4563,44,261630098,DP4th,Permanent,Active,2026/02/24 13:00:00+00,,,,6.1,,21.1,2,0,7.7,,28.8,,,
-9253939.9551,5205415.079,45,261630099,Trinity,Permanent,Active,2026/02/24 13:00:00+00,,,-8,6.8,,16.7,0.4,0,9.1,,25.9,226,,2.6
-9251045.537,5207847.8758,46,261630100,Military Park,Permanent,Active,2026/02/24 13:00:00+00,,,,3.8,,14.2,-0.2,,1.7,,15.9,,,
-9287522.2625,5220265.2766,47,840261630101,Livonia Near Road,Permanent,Active,2026/02/24 13:00:00+00,,,-9,,,11.4,,0,3.5,,15,186,,3.5
-6679169.4476,5160979.444,48,261770008,CLOSED SITE,Permanent,Inactive,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9585653.002,5561412.869,401,260190003,Frankfort,Permanent,Active,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9389882.6494,5282002.7888,402,260370002,Rose Lake,Permanent,Active,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9240193.3338,5238296.2996,403,260991003,Warren,Permanent,Active,2026/02/24 13:00:00+00,,,,,,,,,,,,,,
-9742821.4289,5863737.4897,404,840261030013,Negaunee Twp,Permanent,Active,2026/02/24 13:00:00+00,,,,2.3,,,,,,,,,,
