X,Y,WDSId,SiteId,SiteSpecificName,LegalName,Address,City,County,Latitude,Longitude,CoordinateSystem,HorizontalCollectionMethod,FacilityType,Commercial,CommercialFacility,PermitWorkLoad,CorrectiveActionWorkLoad,FederallyRegulatedTSD,Permitted,CorrectiveActionAndPermit,Hyperlink,Echo,Updated
-87.38239,46.36422,391879,MI0571924760,DEPT/DEFENSE FRMR US AIR FORCE KI SAWYER AFB,US DEPT/DEFENSE,402 3RD ST,GWINN,MARQUETTE,46.36422,-87.38239,WGS-84,Submitted by Handler,TS,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,-1,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=391879,http://echo.epa.gov/detailed-facility-report?fid=MI0571924760,2026/04/22 01:20:07.110+00
-83.04155,42.4919600000001,391949,MI5210022781,US ARMY - DETROIT ARSENAL,US DEPT/DEFENSE,6501 E 11 MILE RD,WARREN,MACOMB,42.49196,-83.04155,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=391949,http://echo.epa.gov/detailed-facility-report?fid=MI5210022781,2026/04/22 01:20:07.110+00
-83.3632899999999,44.4515400000001,391955,MI5570024278,US AIR FORCE WURTSMITH AFB,US DEPT/DEFENSE,3950 ARROW ST,OSCODA,IOSCO,44.45154,-83.36329,WGS-84,Lat/Long Interpolation,TS,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=391955,http://echo.epa.gov/detailed-facility-report?fid=MI5570024278,2026/04/22 01:20:07.110+00
-85.73189,42.9172300000001,392019,MID000266957,ROZEMA INDUSTRIAL WASTE INC,ROZEMA INDUSTRIAL WASTE INC,2650 THORNWOOD ST SW,WYOMING,KENT,42.91723,-85.73189,WGS-84,Lat/Long Interpolation,TS,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392019,http://echo.epa.gov/detailed-facility-report?fid=MID000266957,2026/04/22 01:20:07.110+00
-85.73864,43.01678,392032,MID000647032,ROZEMA INDUSTRIAL WASTE INC,ROZEMA INDUSTRIAL WASTE INC,2900 PEACH RIDGE  AVE NW,WALKER,KENT,43.01678,-85.73864,WGS-84,Lat/Long Interpolation,TS,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392032,http://echo.epa.gov/detailed-facility-report?fid=MID000647032,2026/04/22 01:20:07.110+00
-83.26415,42.7171500000001,392522,MID000718544,GM ORION ASSEMBLY,GENERAL MOTORS LLC,4555 GIDDINGS RD,LAKE ORION,OAKLAND,42.71715,-83.26415,WGS-84,Lat/Long Interpolation,TS,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392522,http://echo.epa.gov/detailed-facility-report?fid=MID000718544,2026/04/22 01:20:07.110+00
-85.6417499999999,41.9552400000001,392523,MID000718551,AMERICAN AXLE & MANUFACTURING,AMERICAN AXLE AND MFG HOLDINGS INC,1 MANUFACTURING DR,THREE RIVERS,ST JOSEPH,41.95524,-85.64175,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392523,http://echo.epa.gov/detailed-facility-report?fid=MID000718551,2026/04/22 01:20:07.110+00
-85.51334,42.86861,392537,MID000718700,CASCADE RESOURCE RECOVERY,CASCADE RESOURCE RECOVERY,6200 52ND ST SE,GRAND RAPIDS,KENT,42.86861,-85.51334,WGS-84,Lat/Long Interpolation,TSD,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392537,http://echo.epa.gov/detailed-facility-report?fid=MID000718700,2026/04/22 01:20:07.110+00
-83.1507799999999,42.2176400000001,392573,MID000721670,BASF CORP,BASF CORP,1532 BIDDLE AVE,WYANDOTTE,WAYNE,42.21764,-83.15078,WGS-84,Lat/Long Interpolation,TS,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392573,http://echo.epa.gov/detailed-facility-report?fid=MID000721670,2026/04/22 01:20:07.110+00
-85.95096,43.0631700000001,392579,MID000721738,CONTINENTAL DAIRY FACILITIES LLC,CONTINENTAL DAIRY FACILITIES LLC,999 W RANDALL ST,COOPERSVILLE,OTTAWA,43.06317,-85.95096,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392579,http://echo.epa.gov/detailed-facility-report?fid=MID000721738,2026/04/22 01:20:07.110+00
-83.17504,42.15482,392581,MID000721753,EDWARD C LEVY COMPANY  TRENTON PLT,EDWARD C LEVY CO,1601 W JEFFERSON AVE,TRENTON,WAYNE,42.15482,-83.17504,WGS-84,Lat/Long Interpolation,TSD,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392581,http://echo.epa.gov/detailed-facility-report?fid=MID000721753,2026/04/22 01:20:07.110+00
-83.13586,42.35182,392591,MID000722157,DTE WARREN SERVICE CENTER,DTE ELECTRIC COMPANY,7940 LIVERNOIS AVE,DETROIT,WAYNE,42.35182,-83.13586,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392591,http://echo.epa.gov/detailed-facility-report?fid=MID000722157,2026/04/22 01:20:07.110+00
-84.61378,43.4120500000001,392613,MID000722439,VELSICOL CHEMICAL CORP,VELSICOL CHEMICAL CORP,500 N BANKSON ST,SAINT LOUIS,GRATIOT,43.41205,-84.61378,WGS-84,Lat/Long Interpolation,D,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,-1,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392613,http://echo.epa.gov/detailed-facility-report?fid=MID000722439,2026/04/22 01:20:07.110+00
-83.31479,42.62494,392636,MID000722686,SAFETY KLEEN SYSTEMS INC,SAFETY KLEEN SYSTEMS INC,751 ORCHARD LAKE RD,PONTIAC,OAKLAND,42.62494,-83.31479,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392636,http://echo.epa.gov/detailed-facility-report?fid=MID000722686,2026/04/22 01:20:07.110+00
-83.3815099999999,42.21279,392637,MID000722694,SAFETY KLEEN SYSTEMS INC 4 055 03,SAFETY KLEEN SYSTEMS INC,35201 CRANE RD,ROMULUS,WAYNE,42.21279,-83.38151,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392637,http://echo.epa.gov/detailed-facility-report?fid=MID000722694,2026/04/22 01:20:07.110+00
-83.38534,41.90184,392640,MID000722728,SALCO CORP,SALCO INC,704 CONANT AVE,MONROE,MONROE,41.90184,-83.38534,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=392640,http://echo.epa.gov/detailed-facility-report?fid=MID000722728,2026/04/22 01:20:07.110+00
